Object,PropBank Sense,PropBank Role
sconce,light_up.08,LOCATION
screen,watch.01,INSTRUMENT
seat,sit.01,ARG2
seat cushion,sit.01,ARG2
separator,separate.01,ARG0
shade,cool.01,LOCATION
shade,shelter.01,ARG2
shed,store.01,ARG2
shelf,place.01,ARG2
shirt,wear.01,ARG1
shoe,wear.01,ARG1
shovel,dig.01,ARG2
shutter,conceal.01,ARG0
shutters,conceal.01,ARG0
shutter,darken.01,ARG0
shutters,darken.01,ARG0
silo,store.01,ARG2
sink,wash.01,INSTRUMENT
skyscraper,occupy.01,ARG1
speaker,sound.02,ARG1
stand,NA,NA
stepladder,ascend.01,PATH
stepladder,climb.01,ARG1
stepladder,descend.01,PATH
stick,NA,NA
stile,ascend.01,PATH
stile,climb.01,ARG1
stile,descend.01,PATH
stool,sit.01,ARG2
stuff,NA,NA
suit,wear.01,ARG1
suitcase,carry.01,ARG2
suitcase,contain.01,ARG0
swivel chair,sit.01,ARG2
table lamp,light_up.08,ARG0
taillight,light_up.08,ARG0
taillight,signal.07,ARG0
thing,NA,NA
tomato,eat.01,ARG1
tube,contain.01,ARG0
tv stand,place.01,ARG2
vase,contain.01,ARG0
vcr,record.01,ARG0
vcr,watch.01,INSTRUMENT
vegetation,NA,NA
water tank,contain.01,ARG0
wooden board,NA,NA
